date,NASDAQ,S&P 500,ETF,Clean Energy,Renewable Energy,Clean Tech Stocks
2014-01-01,8.0,8.0,0.0,21.0,22.0,25.0,5.0
2014-01-02,16.0,11.0,0.0,35.0,34.0,44.0,8.0
2014-01-03,16.0,9.0,0.0,33.0,37.0,42.0,7.0
2014-01-04,7.0,5.0,0.0,23.0,20.0,33.0,7.0
2014-01-05,6.0,4.0,0.0,24.0,22.0,39.0,6.0
2014-01-06,15.0,9.0,0.0,35.0,46.0,61.0,8.0
2014-01-07,17.0,9.0,0.0,35.0,47.0,68.0,9.0
2014-01-08,18.0,9.0,0.0,35.0,49.0,73.0,7.0
2014-01-09,18.0,9.0,0.0,39.0,46.0,70.0,8.0
2014-01-10,18.0,9.0,0.0,35.0,46.0,61.0,8.0
2014-01-11,7.0,5.0,0.0,25.0,20.0,35.0,5.0
2014-01-12,6.0,4.0,0.0,27.0,29.0,42.0,4.0
2014-01-13,17.0,10.0,0.0,33.0,46.0,67.0,7.0
2014-01-14,20.0,11.0,0.0,36.0,53.0,66.0,7.0
2014-01-15,18.0,10.0,0.0,38.0,51.0,68.0,7.0
2014-01-16,20.0,10.0,0.0,35.0,46.0,69.0,7.0
2014-01-17,19.0,9.0,0.0,33.0,49.0,67.0,6.0
2014-01-18,8.0,5.0,0.0,23.0,18.0,37.0,4.0
2014-01-19,6.0,4.0,0.0,21.0,18.0,42.0,4.0
2014-01-20,14.0,7.0,0.0,29.0,41.0,66.0,7.0
2014-01-21,19.0,8.0,0.0,34.0,45.0,70.0,7.0
2014-01-22,20.0,10.0,0.0,35.0,48.0,66.0,8.0
2014-01-23,21.0,10.0,0.0,35.0,47.0,72.0,8.0
2014-01-24,20.0,12.0,0.0,38.0,41.0,64.0,8.0
2014-01-25,8.0,6.0,0.0,20.0,23.0,37.0,5.0
2014-01-26,6.0,5.0,0.0,23.0,27.0,43.0,5.0
2014-01-27,21.0,11.0,0.0,35.0,46.0,69.0,9.0
2014-01-28,20.0,12.0,0.0,35.0,43.0,69.0,8.0
2014-01-29,20.0,11.0,0.0,35.0,40.0,73.0,8.0
2014-01-30,21.0,11.0,0.0,33.0,49.0,76.0,7.0
2014-01-31,20.0,11.0,0.0,31.0,45.0,58.0,7.0
2014-02-01,8.0,6.0,0.0,20.0,29.0,37.0,5.0
2014-02-02,6.0,5.0,0.0,19.0,23.0,48.0,4.0
2014-02-03,18.0,13.0,0.0,33.0,42.0,70.0,7.0
2014-02-04,22.0,14.0,0.0,37.0,53.0,71.0,7.0
2014-02-05,20.0,11.0,0.0,32.0,44.0,75.0,6.0
2014-02-06,18.0,11.0,0.0,31.0,49.0,77.0,7.0
2014-02-07,19.0,11.0,0.0,33.0,39.0,62.0,7.0
2014-02-08,8.0,5.0,0.0,20.0,24.0,37.0,5.0
2014-02-09,6.0,5.0,0.0,21.0,23.0,48.0,5.0
2014-02-10,18.0,9.0,0.0,31.0,42.0,74.0,8.0
2014-02-11,19.0,11.0,0.0,31.0,49.0,83.0,8.0
2014-02-12,20.0,10.0,0.0,30.0,55.0,70.0,7.0
2014-02-13,19.0,9.0,0.0,31.0,37.0,69.0,6.0
2014-02-14,18.0,9.0,0.0,29.0,46.0,55.0,6.0
2014-02-15,7.0,5.0,0.0,20.0,19.0,36.0,4.0
2014-02-16,10.0,4.0,0.0,19.0,19.0,47.0,4.0
2014-02-17,14.0,7.0,0.0,25.0,47.0,69.0,7.0
2014-02-18,19.0,9.0,0.0,33.0,51.0,77.0,7.0
2014-02-19,21.0,10.0,0.0,32.0,54.0,69.0,7.0
2014-02-20,19.0,10.0,0.0,30.0,47.0,74.0,6.0
2014-02-21,18.0,9.0,0.0,30.0,41.0,58.0,6.0
2014-02-22,8.0,5.0,0.0,18.0,23.0,35.0,4.0
2014-02-23,6.0,5.0,0.0,19.0,29.0,48.0,4.0
2014-02-24,18.0,11.0,0.0,32.0,45.0,79.0,7.0
2014-02-25,19.0,11.0,0.0,39.0,55.0,71.0,7.0
2014-02-26,21.0,11.0,0.0,33.0,53.0,79.0,7.0
2014-02-27,21.0,10.0,0.0,32.0,52.0,77.0,7.0
2014-02-28,19.0,11.0,0.0,31.0,48.0,59.0,7.0
2014-03-01,8.0,6.0,0.0,20.0,20.0,33.0,6.0
2014-03-02,6.0,5.0,0.0,19.0,34.0,46.0,5.0
2014-03-03,19.0,12.0,0.0,40.0,41.0,70.0,9.0
2014-03-04,20.0,13.0,0.0,37.0,53.0,78.0,9.0
2014-03-05,21.0,12.0,0.0,36.0,53.0,77.0,7.0
2014-03-06,20.0,11.0,0.0,33.0,59.0,75.0,6.0
2014-03-07,20.0,11.0,0.0,32.0,45.0,63.0,6.0
2014-03-08,7.0,5.0,0.0,17.0,28.0,41.0,4.0
2014-03-09,6.0,5.0,0.0,20.0,23.0,52.0,4.0
2014-03-10,18.0,10.0,0.0,32.0,55.0,78.0,6.0
2014-03-11,21.0,9.0,0.0,34.0,50.0,77.0,6.0
2014-03-12,18.0,9.0,0.0,32.0,56.0,78.0,7.0
2014-03-13,19.0,10.0,0.0,31.0,50.0,76.0,6.0
2014-03-14,18.0,11.0,0.0,31.0,50.0,60.0,6.0
2014-03-15,7.0,4.0,0.0,20.0,22.0,38.0,4.0
2014-03-16,6.0,5.0,0.0,19.0,28.0,46.0,4.0
2014-03-17,18.0,10.0,0.0,29.0,47.0,76.0,6.0
2014-03-18,17.0,10.0,0.0,34.0,43.0,69.0,6.0
2014-03-19,18.0,10.0,0.0,38.0,50.0,72.0,6.0
2014-03-20,17.0,9.0,0.0,35.0,50.0,75.0,5.0
2014-03-21,17.0,10.0,0.0,33.0,43.0,66.0,6.0
2014-03-22,7.0,5.0,0.0,19.0,23.0,42.0,4.0
2014-03-23,6.0,4.0,0.0,20.0,26.0,48.0,4.0
2014-03-24,19.0,9.0,0.0,31.0,53.0,74.0,6.0
2014-03-25,18.0,9.0,0.0,31.0,49.0,79.0,7.0
2014-03-26,20.0,10.0,0.0,31.0,55.0,69.0,6.0
2014-03-27,20.0,10.0,0.0,29.0,50.0,85.0,5.0
2014-03-28,19.0,8.0,0.0,29.0,41.0,64.0,5.0
2014-03-29,6.0,4.0,0.0,18.0,19.0,39.0,3.0
2014-03-30,6.0,5.0,0.0,19.0,24.0,48.0,3.0
2014-03-31,18.0,10.0,0.0,30.0,47.0,76.0,6.0
2014-04-01,20.0,10.0,0.0,30.0,48.0,73.0,5.0
2014-04-02,20.0,12.0,0.0,35.0,56.0,79.0,6.0
2014-04-03,20.0,10.0,0.0,30.0,53.0,77.0,6.0
2014-04-04,23.0,10.0,0.0,33.0,53.0,63.0,5.0
2014-04-05,10.0,5.0,0.0,18.0,24.0,41.0,3.0
2014-04-06,8.0,4.0,0.0,19.0,29.0,48.0,3.0
2014-04-07,21.0,11.0,0.0,32.0,49.0,79.0,5.0
2014-04-08,20.0,11.0,0.0,30.0,43.0,71.0,5.0
2014-04-09,18.0,11.0,0.0,31.0,57.0,73.0,5.0
2014-04-10,24.0,11.0,0.0,32.0,48.0,70.0,5.0
2014-04-11,25.0,12.0,0.0,32.0,47.0,61.0,5.0
2014-04-12,9.0,6.0,0.0,18.0,17.0,37.0,3.0
2014-04-13,7.0,4.0,0.0,17.0,23.0,49.0,3.0
2014-04-14,19.0,11.0,0.0,26.0,49.0,65.0,5.0
2014-04-15,22.0,11.0,0.0,30.0,55.0,67.0,5.0
2014-04-16,20.0,11.0,0.0,29.0,49.0,71.0,6.0
2014-04-17,22.0,11.0,0.0,27.0,45.0,65.0,5.0
2014-04-18,13.0,7.0,0.0,19.0,29.0,45.0,4.0
2014-04-19,6.0,4.0,0.0,16.0,23.0,35.0,3.0
2014-04-20,6.0,4.0,0.0,16.0,26.0,40.0,3.0
2014-04-21,16.0,10.0,0.0,25.0,48.0,70.0,5.0
2014-04-22,18.0,10.0,0.0,29.0,55.0,79.0,5.0
2014-04-23,20.0,9.0,0.0,30.0,45.0,78.0,5.0
2014-04-24,20.0,10.0,0.0,27.0,50.0,73.0,5.0
2014-04-25,16.0,9.0,0.0,27.0,43.0,67.0,5.0
2014-04-26,7.0,4.0,0.0,17.0,27.0,41.0,3.0
2014-04-27,6.0,4.0,0.0,16.0,30.0,54.0,3.0
2014-04-28,18.0,9.0,0.0,28.0,50.0,75.0,5.0
2014-04-29,19.0,9.0,0.0,27.0,51.0,82.0,5.0
2014-04-30,17.0,9.0,0.0,26.0,55.0,82.0,5.0
2014-05-01,17.0,9.0,0.0,25.0,53.0,75.0,6.0
2014-05-02,17.0,8.0,0.0,27.0,49.0,63.0,5.0
2014-05-03,6.0,4.0,0.0,17.0,20.0,37.0,3.0
2014-05-04,5.0,4.0,0.0,16.0,24.0,42.0,3.0
2014-05-05,16.0,9.0,0.0,26.0,57.0,69.0,6.0
2014-05-06,17.0,9.0,0.0,28.0,51.0,79.0,5.0
2014-05-07,20.0,9.0,0.0,29.0,52.0,74.0,4.0
2014-05-08,20.0,9.0,0.0,26.0,47.0,78.0,5.0
2014-05-09,16.0,7.0,0.0,27.0,52.0,64.0,5.0
2014-05-10,7.0,4.0,0.0,15.0,24.0,33.0,3.0
2014-05-11,6.0,3.0,0.0,17.0,18.0,42.0,2.0
2014-05-12,16.0,9.0,0.0,29.0,59.0,91.0,4.0
2014-05-13,17.0,11.0,0.0,29.0,56.0,80.0,5.0
2014-05-14,16.0,8.0,0.0,29.0,47.0,80.0,4.0
2014-05-15,16.0,9.0,0.0,31.0,52.0,71.0,4.0
2014-05-16,15.0,7.0,0.0,27.0,45.0,63.0,4.0
2014-05-17,6.0,4.0,0.0,17.0,25.0,38.0,3.0
2014-05-18,5.0,4.0,0.0,18.0,23.0,42.0,3.0
2014-05-19,16.0,7.0,0.0,28.0,49.0,74.0,5.0
2014-05-20,16.0,9.0,0.0,29.0,51.0,78.0,4.0
2014-05-21,16.0,7.0,0.0,27.0,48.0,75.0,4.0
2014-05-22,18.0,8.0,0.0,28.0,49.0,74.0,4.0
2014-05-23,15.0,8.0,0.0,26.0,43.0,64.0,5.0
2014-05-24,6.0,4.0,0.0,15.0,19.0,40.0,3.0
2014-05-25,5.0,3.0,0.0,16.0,26.0,36.0,2.0
2014-05-26,10.0,4.0,0.0,21.0,37.0,52.0,3.0
2014-05-27,16.0,10.0,0.0,28.0,50.0,73.0,4.0
2014-05-28,16.0,10.0,0.0,27.0,40.0,77.0,4.0
2014-05-29,16.0,10.0,0.0,27.0,46.0,70.0,4.0
2014-05-30,14.0,9.0,0.0,28.0,54.0,58.0,4.0
2014-05-31,7.0,5.0,0.0,17.0,20.0,37.0,3.0
2014-06-01,5.0,4.0,0.0,17.0,26.0,46.0,2.0
2014-06-02,14.0,9.0,0.0,26.0,55.0,75.0,4.0
2014-06-03,16.0,9.0,0.0,28.0,60.0,78.0,4.0
2014-06-04,16.0,8.0,0.0,27.0,48.0,70.0,4.0
2014-06-05,16.0,9.0,0.0,29.0,54.0,67.0,4.0
2014-06-06,14.0,9.0,0.0,29.0,50.0,57.0,4.0
2014-06-07,6.0,5.0,0.0,17.0,27.0,33.0,3.0
2014-06-08,5.0,4.0,0.0,18.0,22.0,39.0,3.0
2014-06-09,16.0,9.0,0.0,29.0,35.0,67.0,4.0
2014-06-10,16.0,9.0,0.0,30.0,57.0,65.0,5.0
2014-06-11,15.0,9.0,0.0,29.0,51.0,67.0,4.0
2014-06-12,17.0,9.0,0.0,28.0,54.0,65.0,6.0
2014-06-13,15.0,8.0,0.0,26.0,35.0,54.0,8.0
2014-06-14,6.0,3.0,0.0,17.0,21.0,33.0,5.0
2014-06-15,4.0,4.0,0.0,17.0,17.0,41.0,4.0
2014-06-16,13.0,7.0,0.0,25.0,50.0,59.0,7.0
2014-06-17,14.0,7.0,0.0,28.0,47.0,63.0,6.0
2014-06-18,15.0,9.0,0.0,28.0,53.0,61.0,7.0
2014-06-19,17.0,11.0,0.0,29.0,43.0,58.0,7.0
2014-06-20,14.0,10.0,0.0,28.0,38.0,53.0,6.0
2014-06-21,6.0,5.0,0.0,18.0,23.0,35.0,4.0
2014-06-22,5.0,3.0,0.0,17.0,24.0,36.0,4.0
2014-06-23,13.0,8.0,0.0,30.0,50.0,62.0,6.0
2014-06-24,15.0,9.0,0.0,28.0,45.0,58.0,6.0
2014-06-25,15.0,9.0,0.0,27.0,51.0,57.0,6.0
2014-06-26,16.0,8.0,0.0,26.0,40.0,55.0,5.0
2014-06-27,16.0,7.0,0.0,26.0,39.0,52.0,5.0
2014-06-28,5.0,4.0,0.0,16.0,18.0,29.0,4.0
2014-06-29,5.0,4.0,0.0,18.0,23.0,33.0,3.0
2014-06-30,15.0,8.0,0.0,28.0,46.0,62.0,5.0
2014-07-01,16.0,8.0,0.0,27.0,40.0,55.0,4.0
2014-07-02,16.0,9.0,0.0,29.0,41.0,49.0,5.0
2014-07-03,17.0,10.0,0.0,28.0,43.0,53.0,5.0
2014-07-04,8.0,5.0,0.0,21.0,32.0,44.0,3.0
2014-07-05,4.0,3.0,0.0,17.0,18.0,31.0,3.0
2014-07-06,5.0,4.0,0.0,18.0,22.0,37.0,3.0
2014-07-07,13.0,8.0,0.0,32.0,51.0,58.0,4.0
2014-07-08,17.0,9.0,0.0,32.0,39.0,53.0,5.0
2014-07-09,13.0,9.0,0.0,33.0,50.0,49.0,4.0
2014-07-10,16.0,9.0,0.0,34.0,49.0,54.0,5.0
2014-07-11,13.0,8.0,0.0,28.0,48.0,49.0,5.0
2014-07-12,5.0,4.0,0.0,17.0,23.0,31.0,3.0
2014-07-13,4.0,3.0,0.0,17.0,16.0,34.0,3.0
2014-07-14,13.0,10.0,0.0,27.0,44.0,56.0,6.0
2014-07-15,17.0,9.0,0.0,29.0,43.0,60.0,5.0
2014-07-16,16.0,9.0,0.0,29.0,46.0,57.0,6.0
2014-07-17,17.0,8.0,0.0,28.0,45.0,53.0,5.0
2014-07-18,17.0,9.0,0.0,27.0,42.0,44.0,5.0
2014-07-19,6.0,4.0,0.0,15.0,20.0,34.0,4.0
2014-07-20,5.0,3.0,0.0,16.0,23.0,29.0,4.0
2014-07-21,15.0,9.0,0.0,25.0,52.0,55.0,5.0
2014-07-22,17.0,9.0,0.0,28.0,49.0,54.0,4.0
2014-07-23,17.0,10.0,0.0,29.0,41.0,58.0,4.0
2014-07-24,18.0,9.0,0.0,28.0,48.0,57.0,4.0
2014-07-25,15.0,9.0,0.0,27.0,32.0,46.0,4.0
2014-07-26,7.0,4.0,0.0,17.0,16.0,30.0,3.0
2014-07-27,5.0,5.0,0.0,16.0,27.0,30.0,3.0
2014-07-28,14.0,10.0,0.0,27.0,34.0,48.0,5.0
2014-07-29,16.0,9.0,0.0,29.0,41.0,60.0,5.0
2014-07-30,17.0,9.0,0.0,28.0,39.0,60.0,5.0
2014-07-31,20.0,12.0,0.0,30.0,38.0,49.0,6.0
2014-08-01,17.0,14.0,0.0,29.0,42.0,42.0,5.0
2014-08-02,6.0,6.0,0.0,17.0,20.0,27.0,4.0
2014-08-03,5.0,4.0,0.0,17.0,29.0,34.0,3.0
2014-08-04,13.0,10.0,0.0,27.0,45.0,52.0,5.0
2014-08-05,17.0,10.0,0.0,28.0,47.0,54.0,6.0
2014-08-06,16.0,12.0,0.0,29.0,49.0,58.0,6.0
2014-08-07,17.0,10.0,0.0,27.0,44.0,57.0,6.0
2014-08-08,14.0,10.0,0.0,28.0,40.0,42.0,6.0
2014-08-09,6.0,5.0,0.0,17.0,22.0,30.0,4.0
2014-08-10,5.0,4.0,0.0,17.0,16.0,35.0,3.0
2014-08-11,15.0,9.0,0.0,27.0,38.0,55.0,6.0
2014-08-12,15.0,9.0,0.0,27.0,44.0,60.0,6.0
2014-08-13,15.0,9.0,0.0,27.0,39.0,51.0,7.0
2014-08-14,15.0,9.0,0.0,27.0,43.0,53.0,7.0
2014-08-15,14.0,9.0,0.0,27.0,33.0,44.0,6.0
2014-08-16,6.0,4.0,0.0,17.0,10.0,29.0,4.0
2014-08-17,4.0,4.0,0.0,17.0,23.0,37.0,4.0
2014-08-18,15.0,10.0,0.0,26.0,39.0,56.0,7.0
2014-08-19,17.0,10.0,0.0,27.0,42.0,61.0,7.0
2014-08-20,17.0,10.0,0.0,29.0,43.0,61.0,7.0
2014-08-21,15.0,11.0,0.0,29.0,52.0,58.0,7.0
2014-08-22,15.0,11.0,0.0,28.0,39.0,48.0,7.0
2014-08-23,6.0,5.0,0.0,17.0,21.0,32.0,4.0
2014-08-24,5.0,4.0,0.0,17.0,23.0,36.0,4.0
2014-08-25,15.0,13.0,0.0,27.0,38.0,56.0,7.0
2014-08-26,16.0,14.0,0.0,29.0,47.0,59.0,6.0
2014-08-27,16.0,12.0,0.0,29.0,41.0,65.0,6.0
2014-08-28,14.0,11.0,0.0,27.0,41.0,59.0,6.0
2014-08-29,13.0,10.0,0.0,27.0,38.0,55.0,5.0
2014-08-30,6.0,5.0,0.0,16.0,25.0,37.0,3.0
2014-08-31,5.0,4.0,0.0,18.0,22.0,38.0,3.0
2014-09-01,10.0,5.0,0.0,20.0,30.0,51.0,5.0
2014-09-02,15.0,11.0,0.0,29.0,46.0,63.0,7.0
2014-09-03,17.0,10.0,0.0,30.0,36.0,63.0,7.0
2014-09-04,16.0,11.0,0.0,29.0,43.0,63.0,7.0
2014-09-05,16.0,11.0,0.0,28.0,44.0,57.0,5.0
2014-09-06,6.0,5.0,0.0,17.0,24.0,34.0,4.0
2014-09-07,6.0,4.0,0.0,18.0,22.0,39.0,3.0
2014-09-08,15.0,9.0,0.0,29.0,49.0,68.0,8.0
2014-09-09,19.0,10.0,0.0,28.0,55.0,67.0,7.0
2014-09-10,17.0,10.0,0.0,29.0,39.0,65.0,7.0
2014-09-11,17.0,10.0,0.0,28.0,44.0,67.0,8.0
2014-09-12,16.0,9.0,0.0,31.0,44.0,51.0,7.0
2014-09-13,6.0,4.0,0.0,18.0,20.0,34.0,5.0
2014-09-14,5.0,4.0,0.0,16.0,26.0,45.0,4.0
2014-09-15,18.0,10.0,0.0,28.0,44.0,63.0,8.0
2014-09-16,19.0,10.0,0.0,30.0,48.0,69.0,8.0
2014-09-17,18.0,9.0,0.0,28.0,52.0,69.0,8.0
2014-09-18,17.0,11.0,0.0,31.0,52.0,68.0,8.0
2014-09-19,20.0,9.0,0.0,31.0,52.0,57.0,8.0
2014-09-20,8.0,5.0,0.0,19.0,28.0,36.0,4.0
2014-09-21,6.0,4.0,0.0,19.0,26.0,44.0,4.0
2014-09-22,17.0,10.0,0.0,31.0,57.0,68.0,8.0
2014-09-23,16.0,10.0,0.0,30.0,52.0,73.0,8.0
2014-09-24,17.0,10.0,0.0,33.0,52.0,81.0,8.0
2014-09-25,18.0,11.0,0.0,33.0,49.0,68.0,8.0
2014-09-26,17.0,11.0,0.0,31.0,46.0,59.0,7.0
2014-09-27,6.0,5.0,0.0,16.0,18.0,37.0,4.0
2014-09-28,5.0,4.0,0.0,17.0,26.0,44.0,4.0
2014-09-29,16.0,10.0,0.0,30.0,45.0,67.0,7.0
2014-09-30,17.0,10.0,0.0,31.0,55.0,72.0,9.0
2014-10-01,18.0,12.0,0.0,33.0,44.0,67.0,10.0
2014-10-02,18.0,13.0,0.0,33.0,52.0,62.0,11.0
2014-10-03,17.0,11.0,0.0,31.0,43.0,54.0,11.0
2014-10-04,6.0,5.0,0.0,18.0,22.0,34.0,7.0
2014-10-05,5.0,4.0,0.0,18.0,20.0,36.0,6.0
2014-10-06,16.0,10.0,0.0,30.0,46.0,63.0,10.0
2014-10-07,18.0,12.0,0.0,32.0,54.0,74.0,11.0
2014-10-08,18.0,13.0,0.0,32.0,52.0,68.0,12.0
2014-10-09,20.0,13.0,0.0,32.0,47.0,67.0,14.0
2014-10-10,21.0,15.0,0.0,33.0,42.0,62.0,17.0
2014-10-11,9.0,7.0,0.0,19.0,30.0,41.0,10.0
2014-10-12,7.0,6.0,0.0,17.0,24.0,42.0,8.0
2014-10-13,21.0,15.0,0.0,34.0,51.0,67.0,18.0
2014-10-14,21.0,19.0,0.0,36.0,57.0,78.0,23.0
2014-10-15,24.0,23.0,0.0,43.0,49.0,72.0,30.0
2014-10-16,23.0,21.0,0.0,43.0,54.0,69.0,26.0
2014-10-17,19.0,17.0,0.0,33.0,43.0,59.0,21.0
2014-10-18,8.0,7.0,0.0,18.0,27.0,36.0,12.0
2014-10-19,7.0,5.0,0.0,17.0,29.0,46.0,11.0
2014-10-20,19.0,14.0,0.0,30.0,53.0,73.0,21.0
2014-10-21,20.0,15.0,0.0,35.0,40.0,76.0,19.0
2014-10-22,21.0,14.0,0.0,31.0,45.0,74.0,17.0
2014-10-23,20.0,14.0,0.0,31.0,48.0,63.0,17.0
2014-10-24,18.0,13.0,0.0,28.0,40.0,57.0,15.0
2014-10-25,7.0,6.0,0.0,17.0,24.0,34.0,10.0
2014-10-26,6.0,4.0,0.0,17.0,28.0,44.0,9.0
2014-10-27,18.0,13.0,0.0,31.0,48.0,70.0,20.0
2014-10-28,19.0,13.0,0.0,32.0,50.0,72.0,21.0
2014-10-29,20.0,13.0,0.0,30.0,54.0,72.0,18.0
2014-10-30,20.0,12.0,0.0,32.0,48.0,68.0,16.0
2014-10-31,19.0,16.0,0.0,38.0,38.0,57.0,17.0
2014-11-01,7.0,7.0,0.0,21.0,24.0,34.0,12.0
2014-11-02,6.0,6.0,0.0,20.0,23.0,52.0,10.0
2014-11-03,19.0,13.0,0.0,34.0,45.0,76.0,19.0
2014-11-04,19.0,13.0,0.0,35.0,47.0,77.0,29.0
2014-11-05,21.0,14.0,0.0,37.0,52.0,76.0,25.0
2014-11-06,21.0,13.0,0.0,39.0,48.0,74.0,23.0
2014-11-07,19.0,12.0,0.0,35.0,43.0,63.0,17.0
2014-11-08,8.0,6.0,0.0,21.0,21.0,44.0,11.0
2014-11-09,5.0,4.0,0.0,20.0,24.0,50.0,10.0
2014-11-10,17.0,12.0,0.0,34.0,52.0,77.0,17.0
2014-11-11,19.0,13.0,0.0,36.0,42.0,75.0,17.0
2014-11-12,20.0,13.0,0.0,35.0,47.0,84.0,16.0
2014-11-13,19.0,12.0,0.0,36.0,63.0,77.0,23.0
2014-11-14,18.0,11.0,0.0,36.0,39.0,69.0,23.0
2014-11-15,7.0,6.0,0.0,19.0,21.0,42.0,14.0
2014-11-16,6.0,5.0,0.0,21.0,23.0,48.0,11.0
2014-11-17,18.0,11.0,0.0,34.0,52.0,85.0,21.0
2014-11-18,18.0,13.0,0.0,35.0,46.0,84.0,21.0
2014-11-19,19.0,12.0,0.0,35.0,51.0,81.0,19.0
2014-11-20,17.0,12.0,0.0,31.0,61.0,80.0,17.0
2014-11-21,17.0,13.0,0.0,33.0,45.0,68.0,15.0
2014-11-22,6.0,6.0,0.0,19.0,22.0,40.0,10.0
2014-11-23,5.0,5.0,0.0,20.0,23.0,48.0,9.0
2014-11-24,17.0,11.0,0.0,33.0,53.0,74.0,17.0
2014-11-25,17.0,12.0,0.0,33.0,43.0,72.0,16.0
2014-11-26,16.0,10.0,0.0,33.0,33.0,71.0,16.0
2014-11-27,11.0,6.0,0.0,28.0,28.0,58.0,27.0
2014-11-28,14.0,7.0,0.0,34.0,26.0,52.0,44.0
2014-11-29,7.0,5.0,0.0,23.0,25.0,33.0,29.0
2014-11-30,6.0,4.0,0.0,25.0,28.0,49.0,24.0
2014-12-01,16.0,11.0,0.0,38.0,44.0,75.0,45.0
2014-12-02,17.0,12.0,0.0,39.0,64.0,78.0,43.0
2014-12-03,18.0,11.0,0.0,38.0,56.0,76.0,37.0
2014-12-04,16.0,11.0,0.0,41.0,44.0,75.0,35.0
2014-12-05,16.0,11.0,0.0,38.0,44.0,66.0,32.0
2014-12-06,7.0,6.0,0.0,25.0,27.0,43.0,20.0
2014-12-07,6.0,5.0,0.0,21.0,19.0,46.0,17.0
2014-12-08,16.0,11.0,0.0,41.0,42.0,69.0,39.0
2014-12-09,17.0,12.0,0.0,39.0,53.0,78.0,42.0
2014-12-10,17.0,12.0,0.0,43.0,51.0,80.0,49.0
2014-12-11,17.0,13.0,0.0,43.0,48.0,68.0,51.0
2014-12-12,17.0,12.0,0.0,42.0,38.0,65.0,58.0
2014-12-13,7.0,7.0,0.0,23.0,17.0,30.0,36.0
2014-12-14,5.0,5.0,0.0,23.0,22.0,40.0,30.0
2014-12-15,17.0,13.0,0.0,43.0,42.0,67.0,63.0
2014-12-16,18.0,14.0,0.0,52.0,50.0,67.0,70.0
2014-12-17,18.0,14.0,0.0,48.0,42.0,63.0,59.0
2014-12-18,19.0,16.0,0.0,45.0,41.0,60.0,54.0
2014-12-19,19.0,14.0,0.0,41.0,34.0,42.0,47.0
2014-12-20,7.0,6.0,0.0,24.0,15.0,23.0,29.0
2014-12-21,5.0,5.0,0.0,24.0,17.0,24.0,26.0
2014-12-22,17.0,11.0,0.0,42.0,25.0,35.0,45.0
2014-12-23,19.0,14.0,0.0,45.0,32.0,35.0,42.0
2014-12-24,15.0,11.0,0.0,36.0,26.0,28.0,32.0
2014-12-25,7.0,6.0,0.0,26.0,11.0,25.0,21.0
2014-12-26,13.0,10.0,0.0,31.0,21.0,26.0,27.0
2014-12-27,8.0,7.0,0.0,24.0,14.0,21.0,25.0
2014-12-28,6.0,5.0,0.0,25.0,19.0,25.0,19.0
2014-12-29,14.0,12.0,0.0,42.0,30.0,39.0,38.0
2014-12-30,16.0,12.0,0.0,42.0,28.0,40.0,39.0
2014-12-31,14.0,13.0,0.0,39.0,24.0,36.0,39.0
2015-01-01,8.0,9.0,0.0,26.0,16.0,27.0,26.0
2015-01-02,13.0,13.0,0.0,40.0,26.0,33.0,34.0
2015-01-03,6.0,7.0,0.0,27.0,21.0,28.0,26.0
2015-01-04,6.0,7.0,0.0,26.0,25.0,29.0,21.0
